"","X","Case.No.","Claimant.s.","Respondent.s.","Status","claimants","outcome","registered","bit","instrument","claim_id","reg_year","out_year","bit_claim","nafta_claim","other_claim","claimants_nat","resp_state_comp","respondents_nat","host","source"
"11",16,"ARB/15/19","ENERGO-PRO a.s.","Republic of Bulgaria","Pending","ENERGO-PRO a.s. (Czech)","","May 26, 2015","BIT Czech Republic - Bulgaria 1999, ","ECT (Energy Charter Treaty)",523,2015,NA,1,0,0,"Czech",0,"Republic of Bulgaria","BGR","CZE"
"12",18,"ARB/15/17","Hanocal Holding B.V. and IPIC International B.V.","Republic of Korea","Pending","Hanocal Holding B.V. (Dutch), IPIC International B.V. (Dutch)","","May 20, 2015","BIT Netherlands - Korea,  Republic of 2003","",521,2015,NA,1,0,0,"Dutch",0,"Republic of Korea","KOR","NLD"
"13",19,"ARB/15/16","BayWa r.e. Renewable Energy GmbH and BayWa r.e. Asset Holding GmbH","Kingdom of Spain","Pending","BayWa r.e. Renewable Energy GmbH (German), BayWa r.e. Asset Holding GmbH (German)","","May 8, 2015","","ECT (Energy Charter Treaty)",520,2015,NA,0,0,1,"German",0,"Kingdom of Spain","ESP","DEU"
"14",20,"ARB/15/15","9REN Holding S.a.r.l","Kingdom of Spain","Pending","9REN Holding S.a.r.l (Luxembourg)","","April 21, 2015","","ECT (Energy Charter Treaty)",519,2015,NA,0,0,1,"Luxembourg",0,"Kingdom of Spain","ESP","LUX"
"15",24,"ARB/15/11","Total E&P Uganda BV","Republic of Uganda","Pending","Total E&P Uganda BV (Dutch)","","March 20, 2015","BIT Netherlands - Uganda 2000, ","Contract",515,2015,NA,1,0,0,"Dutch",0,"Republic of Uganda","UGA","NLD"
"16",25,"ARB/15/10","Orange SA","Hashemite Kingdom of Jordan","Pending","Orange SA (French)","","March 13, 2015","BIT Jordan - France 1978, ","Investment Law - Jordan (1995)",514,2015,NA,1,0,0,"French",0,"Hashemite Kingdom of Jordan","JOR","FRA"
"17",26,"ARB/15/9","Poltava Gas B.V. and Poltava Petroleum Company","Ukraine","Pending"," Poltava Gas B.V. (Dutch), Poltava Petroleum Company (Ukrainian)","","March 11, 2015","BIT Netherlands - Ukraine 1994","",513,2015,NA,1,0,0,"Dutch",0,"Ukraine","UKR","NLD"
"18",27,"ARB/15/8","Aktau Petrol Ticaret A.S. and Som Petrol Ticaret A.S.","Republic of Kazakhstan","Pending","Aktau Petrol Ticaret A.S. (Turkish), Som Petrol Ticaret A.S. (Turkish)","","March 6, 2015","BIT Turkey - Kazakhstan 1992, ","ECT (Energy Charter Treaty)",512,2015,NA,1,0,0,"Turkish",0,"Republic of Kazakhstan","KAZ","TUR"
"19",28,"ARB/15/7","WalAm Energy Inc.","Republic of Kenya","Pending","WalAm Energy Inc. (Canadian)","","February 23, 2015","","Contract",511,2015,NA,0,0,1,"Canadian",0,"Republic of Kenya","KEN","CAN"
"20",29,"ARB/15/6","Mobil Investments Canada Inc.","Canada","Pending"," Mobil Investments Canada Inc. (U.S.)","","February 18, 2015","","NAFTA (North American Free Trade Agreement)",510,2015,NA,0,1,0,"U.S.",0,"Canada","CAN","USA"
"21",30,"ARB/15/5","B3 Croatian Courier Coöperatief U.A.","Republic of Croatia","Pending","B3 Croatian Courier Coöperatief U.A.  (Dutch)","","February 3, 2015","BIT Croatia - Netherlands 1998","",509,2015,NA,1,0,0,"Dutch",0,"Republic of Croatia","HRV","NLD"
"22",31,"ARB/15/4","STEAG GmbH","Kingdom of Spain","Pending","STEAG GmbH (German)","","January 21, 2015","","ECT (Energy Charter Treaty)",508,2015,NA,0,0,1,"German",0,"Kingdom of Spain","ESP","DEU"
"23",32,"UNCT/15/1","A11Y LTD.","Czech Republic","Pending","A11Y LTD. (British)","","January 16, 2015","BIT United Kingdom of Great Britain and Northern Ireland - Czech Republic 1990","",507,2015,NA,1,0,0,"British",0,"Czech Republic","CZE","GBR"
"24",35,"ARB/15/1","Stadtwerke München GmbH, RWE Innogy GmbH, and others","Kingdom of Spain","Pending","Stadtwerke München GmbH (German), RWE Innogy GmbH (German), RheinEnergie AG (German), AS 3 Beteiligungs GmbH (German), Ferrostaal Industrial Projects GmbH (German), Ferranda GmbH (German), Andasol Fonds GmbH & Co. KG (German), Andasol 3 Kraftwerks GmbH (German), Marquesado Solar S.L. (Spanish)","","January 7, 2015","","ECT (Energy Charter Treaty)",504,2015,NA,0,0,1,"German",0,"Kingdom of Spain","ESP","DEU"
"25",37,"ARB/14/34","RWE Innogy GmbH and RWE Innogy Aersa S.A.U.","Kingdom of Spain","Pending","RWE Innogy GmbH (German), RWE Innogy Aersa S.A.U. (Spanish)","","December 23, 2014","","ECT (Energy Charter Treaty)",502,2014,NA,0,0,1,"German",0,"Kingdom of Spain","ESP","DEU"
"26",39,"ARB/14/32","Casinos Austria International GmbH and Casinos Austria Aktiengesellschaft","Argentine Republic","Pending","Casinos Austria International GmbH (Austrian), Casinos Austria Aktiengesellschaft (Austrian)","","December 18, 2014","BIT Argentina - Austria 1992","",500,2014,NA,1,0,0,"Austrian",0,"Argentine Republic","ARG","AUT"
"27",40,"ARB/14/31","Tariq Bashir and SA Interpétrol Burundi","Republic of Burundi","Pending","Tariq Bashir (Belgian), SA Interpétrol Burundi (Burundi)","","December 12, 2014","BIT Belgium-Luxembourg - Burundi 1989","",499,2014,NA,1,0,0,"Belgian",0,"Republic of Burundi","BDI","BEL"
"28",42,"ARB/14/29","Ioan Micula, Viorel Micula and others","Romania","Pending","loan Micula (Swedish), Viorel Micula (Swedish), S.C. Scandic Distilleries S.A. (Romanian), S.C. West Leasing International S.R.L. (Romanian), S.C. Edri Trading S.R.L. (Romanian), S.C. European Drinks S.A. (Romanian), S.C. European Food S.A. (Romanian), S.C. Starmill S.R.L. (Romanian), S.C. multipack S.R.L. (Romanian), S.C. Tonical Trading S.R.L. (Romanian), S.C. Rieni Drinks S.A. (Romanian), S.C. Transilvania General Import-Export S.R.L. (Romanian)","","November 24, 2014","BIT Sweden - Romania 2002","",497,2014,NA,1,0,0,"Swedish",0,"Romania","ROM","SWE"
"29",43,"ARB/14/28","Alpiq AG","Romania","Pending","Alpiq AG (Swiss)","","November 17, 2014","BIT Romania - Switzerland 1993, ","ECT (Energy Charter Treaty)",496,2014,NA,1,0,0,"Switzerland",0,"Romania","ROM","CHE"
"30",44,"ARB/14/26","Albaniabeg Ambient Sh.p.k, M. Angelo Novelli and Costruzioni S.r.l.","Republic of Albania","Pending"," Albaniabeg Ambient Sh.p.k (Albanian), M. Angelo Novelli  (Italian), Costruzioni S.r.l. (Italian)","","November 7, 2014","","ECT (Energy Charter Treaty)",495,2014,NA,0,0,1,"Italian",0,"Republic of Albania","ALB","ITA"
"31",46,"ARB/14/25","Ansung Housing Co., Ltd.","People's Republic of China","Pending","Ansung Housing Co.,  Ltd.   (Korean)","","November 4, 2014","BIT China - Korea,  Republic of 2007","",493,2014,NA,1,0,0,"Korean",0,"People's Republic of China","CHN","KOR"
"32",47,"ARB/14/24","United Utilities (Tallinn) B.V. and Aktsiaselts Tallinna Vesi","Republic of Estonia","Pending","United Utilities (Tallinn) B.V. (Dutch), Aktsiaselts Tallinna Vesi (Estonian)","","October 24, 2014","BIT Netherlands - Estonia 1992","",492,2014,NA,1,0,0,"Dutch",0,"Republic of Estonia","EST","NLD"
"33",49,"ARB/14/22","BSG Resources Limited","Republic of Guinea","Pending","BSG Resources Limited (British)","","September 8, 2014","","Investment Law - Guinea (1987), Investment Law - Guinea (1995)",490,2014,NA,0,0,1,"British",0,"Republic of Guinea","GIN","GBR"
"34",50,"ARB/14/21","Bear Creek Mining Corporation","Republic of Peru","Pending","Bear Creek Mining Corporation (Canadian)","","August 18, 2014","","FTA Canada - Peru 2009",489,2014,NA,0,0,1,"Canadian",0,"Republic of Peru","PER","CAN"
"35",51,"ARB/14/20","Sodexo Pass International SAS","Hungary","Pending","Sodexo Pass International SAS (French)","","August 15, 2014","BIT France - Hungary 1986","",488,2014,NA,1,0,0,"French",0,"Hungary","HUN","FRA"
"36",52,"ARB/14/19","VICAT","Republic of Senegal","Pending","VICAT (French)","","August 5, 2014","BIT Senegal - France 2007","",487,2014,NA,1,0,0,"French",0,"Republic of Senegal","SEN","FRA"
"37",53,"ARB/14/18","RENERGY S.à r.l.","Kingdom of Spain","Pending","RENERGY S.à r.l.  (Luxembourg)","","August 1, 2014","","ECT (Energy Charter Treaty)",486,2014,NA,0,0,1,"Luxembourg",0,"Kingdom of Spain","ESP","LUX"
"38",54,"ARB(AF)/14/3","Corona Materials, LLC","Dominican Republic","Pending","Corona Materials,  LLC  (U.S.)","","July 30, 2014","","CAFTA-DR (Dominican Republic-Central America Free Trade Agreement)",485,2014,NA,0,0,1,"U.S.",0,"Dominican Republic","DOM","USA"
"39",55,"ARB/14/17","Krederi Ltd.","Ukraine","Pending","Krederi Ltd. (British)","","July 21, 2014","BIT United Kingdom of Great Britain and Northern Ireland - Ukraine 1993","",484,2014,NA,1,0,0,"British",0,"Ukraine","UKR","GBR"
"40",57,"ARB/14/15","Nusa Tenggara Partnership B.V. and PT Newmont Nusa Tenggara","Republic of Indonesia","Concluded","Nusa Tenggara Partnership B.V. (Dutch), PT Newmont Nusa Tenggara  (Dutch)","The Secretary-General issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 44.","July 15, 2014","BIT Indonesia - Netherlands 1994","",482,2014,NA,1,0,0,"Dutch",0,"Republic of Indonesia","IDN","NLD"
"41",58,"ARB/14/14","EuroGas Inc. and Belmont Resources Inc.","Slovak Republic","Pending","EuroGas Inc. (U.S.), Belmont Resources Inc. (Canadian)","","July 10, 2014","BIT Canada - Slovak Republic 2010, BIT United States of America - Slovak Republic 1991","",481,2014,NA,1,0,0,"U.S.",0,"Slovak Republic","SVK","USA"
"42",58,"ARB/14/14","EuroGas Inc. and Belmont Resources Inc.","Slovak Republic","Pending","EuroGas Inc. (U.S.), Belmont Resources Inc. (Canadian)","","July 10, 2014","BIT Canada - Slovak Republic 2010, BIT United States of America - Slovak Republic 1991","",481,2014,NA,1,0,0,"Canadian",0,"Slovak Republic","SVK","CAN"
"43",59,"ARB(AF)/14/2","Oded Besserglik","Republic of Mozambique","Pending","Oded Besserglik (South African)","","July 3, 2014","BIT Mozambique - South Africa 1997, ","Investment Law - Mozambique (1993)",480,2014,NA,1,0,0,"South African",0,"Republic of Mozambique","MOZ","ZAF"
"44",61,"ARB/14/12","InfraRed Environmental Infrastructure GP Limited and others","Kingdom of Spain","Pending","InfraRed Environmental Infrastructure GP Limited (British)","","June 3, 2014","","ECT (Energy Charter Treaty)",478,2014,NA,0,0,1,"British",0,"Kingdom of Spain","ESP","GBR"
"45",62,"ARB/14/11","NextEra Energy Global Holdings B.V. and NextEra Energy Spain Holdings B.V.","Kingdom of Spain","Pending","NextEra Energy Global Holdings B.V. (Dutch), NextEra Energy Spain Holdings B.V. (Dutch)","","May 23, 2014","","ECT (Energy Charter Treaty)",477,2014,NA,0,0,1,"Dutch",0,"Kingdom of Spain","ESP","NLD"
"46",63,"ARB/14/10","Highbury International AVV, Compañía Minera de Bajo Caroní AVV, and Ramstein Trading Inc.","Bolivarian Republic of Venezuela","Pending","Highbury International AVV (Dutch), Ramstein Trading Inc. (Panamanian), Compañía Minera de Bajo Caroní AVV (Dutch)","","May 19, 2014","BIT Netherlands - Venezuela,  Republica Bolivariana de 1991, ","Investment Law - Venezuela (1999)",476,2014,NA,1,0,0,"Dutch",0,"Bolivarian Republic of Venezuela","VEN","NLD"
"47",64,"ARB/14/9","City-State N.V., Praktyka Asset Management Company LLC, Crystal-Invest LLC and Prodiz LLC","Ukraine","Pending","City-State N.V. (Dutch), Praktyka Asset Management Company LLC (Ukrainian), Crystal-Invest LLC  (Ukrainian), Prodiz LLC (Ukrainian)","","April 24, 2014","BIT Netherlands - Ukraine 1994","",475,2014,NA,1,0,0,"Dutch",0,"Ukraine","UKR","NLD"
"48",65,"ARB(AF)/14/1","Anglo American PLC","Bolivarian Republic of Venezuela","Pending","Anglo American PLC (British)","","April 10, 2014","BIT Venezuela,  Republica Bolivariana de - United Kingdom of Great Britain and Northern Ireland 1995","",474,2014,NA,1,0,0,"British",0,"Bolivarian Republic of Venezuela","VEN","GBR"
"49",67,"ARB/14/6","African Petroleum Gambia Limited (Block A1)","Republic of The Gambia","Concluded","African Petroleum Gambia Limited (Block A1) (British)","Order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1) issued on January 27, 2015.","March 12, 2014","","Contract",472,2014,2015,0,0,1,"British",0,"Republic of The Gambia","GMB","GBR"
"50",68,"ARB/14/7","African Petroleum Gambia Limited (Block A4)","Republic of The Gambia","Concluded","African Petroleum Gambia Limited (Block A4) (British)","Order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1) issued on January 27, 2015.","March 12, 2014","","Contract",471,2014,2015,0,0,1,"British",0,"Republic of The Gambia","GMB","GBR"
"51",69,"ARB/14/5","Infinito Gold Ltd.","Republic of Costa Rica","Pending","Infinito Gold Ltd (Canadian)","","March 4, 2014","BIT Costa Rica - Canada 1998","",470,2014,NA,1,0,0,"Canadian",0,"Republic of Costa Rica","CRI","CAN"
"52",70,"ARB/14/4","Unión Fenosa Gas, S.A.","Arab Republic of Egypt","Pending","Unión Fenosa Gas,  S.A. (Spanish)","","February 27, 2014","BIT Egypt,  Arab Republic of - Spain 1992","",469,2014,NA,1,0,0,"Spanish",0,"Arab Republic of Egypt","EGY","ESP"
"53",71,"ARB/14/3","Blusun S.A., Jean-Pierre Lecorcier and Michael Stein","Italian Republic","Pending","Blusun S.A. (Belgian), Jean-Pierre Lecorcier (French), Michael Stein (German)","","February 21, 2014","","ECT (Energy Charter Treaty)",468,2014,NA,0,0,1,"Belgian",0,"Italian Republic","ITA","BEL"
"54",71,"ARB/14/3","Blusun S.A., Jean-Pierre Lecorcier and Michael Stein","Italian Republic","Pending","Blusun S.A. (Belgian), Jean-Pierre Lecorcier (French), Michael Stein (German)","","February 21, 2014","","ECT (Energy Charter Treaty)",468,2014,NA,0,0,1,"French",0,"Italian Republic","ITA","FRA"
"55",71,"ARB/14/3","Blusun S.A., Jean-Pierre Lecorcier and Michael Stein","Italian Republic","Pending","Blusun S.A. (Belgian), Jean-Pierre Lecorcier (French), Michael Stein (German)","","February 21, 2014","","ECT (Energy Charter Treaty)",468,2014,NA,0,0,1,"German",0,"Italian Republic","ITA","DEU"
"56",72,"ARB/14/2","Michael Dagher","Republic of the Sudan","Pending","Michael Dagher (Jordanian, Lebanese)","","February 21, 2014","BIT Sudan - Jordan 2000, BIT Sudan - Lebanon 2004","",467,2014,NA,1,0,0,"Jordanian",0,"Republic of the Sudan","SDN","JOR"
"57",73,"ARB/14/1","Masdar Solar & Wind Cooperatief U.A.","Kingdom of Spain","Pending","Masdar Solar & Wind Cooperatief U.A. (Dutch)","","February 11, 2014","","ECT (Energy Charter Treaty)",466,2014,NA,0,0,1,"Dutch",0,"Kingdom of Spain","ESP","NLD"
"58",75,"ARB/13/37","Utsch M.O.V.E.R.S. International GmbH, Erich Utsch Aktiengesellschaft, and Mr. Helmut Jungbluth","Arab Republic of Egypt","Pending","Erich Utsch Aktiengesellschaft (German), Helmut Jungbluth (German), Utsch M.O.V.E.R.S. International GmbH (German)","","December 24, 2013","BIT Egypt,  Arab Republic of - Germany 2005","",464,2013,NA,1,0,0,"German",0,"Arab Republic of Egypt","EGY","DEU"
"59",76,"ARB/13/35","Le Chèque Déjeuner and C.D Holding Internationale","Hungary","Pending","C.D Holding Internationale  (French), Le Chèque Déjeuner (French)","","December 23, 2013","BIT France - Hungary 1986","",463,2013,NA,1,0,0,"French",0,"Hungary","HUN","FRA"
"60",78,"ARB/13/36","Eiser Infrastructure Limited and Energía Solar Luxembourg S.à r.l.","Kingdom of Spain","Pending","EISER Infrastructure Limited  (British), Energia Solar Luxembourg S.à r.l. (Luxembourg)","","December 23, 2013","","ECT (Energy Charter Treaty)",461,2013,NA,0,0,1,"British",0,"Kingdom of Spain","ESP","GBR"
"61",78,"ARB/13/36","Eiser Infrastructure Limited and Energía Solar Luxembourg S.à r.l.","Kingdom of Spain","Pending","EISER Infrastructure Limited  (British), Energia Solar Luxembourg S.à r.l. (Luxembourg)","","December 23, 2013","","ECT (Energy Charter Treaty)",461,2013,NA,0,0,1,"Luxembourg",0,"Kingdom of Spain","ESP","LUX"
"62",80,"ARB/13/32","MOL Hungarian Oil and Gas Company Plc","Republic of Croatia","Pending","MOL Hungarian Oil and Gas Company Plc (Hungarian)","","December 5, 2013","","ECT (Energy Charter Treaty)",459,2013,NA,0,0,1,"Hungarian",0,"Republic of Croatia","HRV","HUN"
"63",81,"ARB/13/31","Antin Infrastructure Services Luxembourg S.à.r.l. and Antin Energia Termosolar B.V.","Kingdom of Spain","Pending","Antin Energia Termosolar B.V.  (Dutch), Antin Infrastructure Services Luxembourg S.à r.l. (Luxembourg)","","November 22, 2013","","ECT (Energy Charter Treaty)",458,2013,NA,0,0,1,"Dutch",0,"Kingdom of Spain","ESP","NLD"
"64",81,"ARB/13/31","Antin Infrastructure Services Luxembourg S.à.r.l. and Antin Energia Termosolar B.V.","Kingdom of Spain","Pending","Antin Energia Termosolar B.V.  (Dutch), Antin Infrastructure Services Luxembourg S.à r.l. (Luxembourg)","","November 22, 2013","","ECT (Energy Charter Treaty)",458,2013,NA,0,0,1,"Luxembourg",0,"Kingdom of Spain","ESP","LUX"
"65",82,"ARB/13/29","Cementos La Union S.A. and Aridos Jativa S.L.U","Arab Republic of Egypt","Pending","Aridos Jativa S.L.U. (Spanish), Cementos La Union S.A.  (Spanish)","","November 22, 2013","BIT Egypt,  Arab Republic of - Spain 1992","",457,2013,NA,1,0,0,"Spanish",0,"Arab Republic of Egypt","EGY","ESP"
"66",83,"ARB/13/30","RREEF Infrastructure (G.P.) Limited and RREEF Pan-European Infrastructure Two Lux S.à r.l.","Kingdom of Spain","Pending","RREEF Infrastructure (G.P.) Limited (British), RREEF Pan-European Infrastructure Two Lux S.à r.l. (Luxembourg)","","November 22, 2013","","ECT (Energy Charter Treaty)",456,2013,NA,0,0,1,"British",0,"Kingdom of Spain","ESP","GBR"
"67",83,"ARB/13/30","RREEF Infrastructure (G.P.) Limited and RREEF Pan-European Infrastructure Two Lux S.à r.l.","Kingdom of Spain","Pending","RREEF Infrastructure (G.P.) Limited (British), RREEF Pan-European Infrastructure Two Lux S.à r.l. (Luxembourg)","","November 22, 2013","","ECT (Energy Charter Treaty)",456,2013,NA,0,0,1,"Luxembourg",0,"Kingdom of Spain","ESP","LUX"
"68",84,"ARB(AF)/13/2","Cemusa - Corporación Europea de Mobiliario Urbano, S.A. and Corporación Americana de Equipamientos Urbanos, S.L.","United Mexican States","Concluded","Cemusa - Corporación Europea de Mobiliario Urbano,  S.A.  (Spanish), Corporación Americana de Equipamientos Urbanos,  S.L. (Spanish)","The Acting Secretary-General issues a procedural order taking note of the discontinuance of the proceeding pursuant to Article 51 of the Arbitration (Additional Facility) Rules on August 18, 2014.","November 6, 2013","BIT Spain - Mexico 2006","",455,2013,2014,1,0,0,"Spanish",0,"United Mexican States","MEX","ESP"
"69",85,"UNCT/13/2","Spence International Investments et al.","Republic of Costa Rica","Pending","Spence International Investments et al.  (U.S.)","","October 17, 2013","","",454,2013,NA,0,0,1,"U.S.",0,"Republic of Costa Rica","CRI","USA"
"70",88,"ARB/13/26","Spentex Netherlands, B.V.","Republic of Uzbekistan","Pending","Spentex Netherlands,  B.V. (Dutch)","","September 27, 2013","BIT Netherlands - Uzbekistan 1996, ","Contract, Investment Law - Uzbekistan (1998)",451,2013,NA,1,0,0,"Dutch",0,"Republic of Uzbekistan","UZB","NLD"
"71",89,"ARB/13/25","Tullow Uganda Operations Pty Ltd and Tullow Uganda Limited","Republic of Uganda","Concluded","Tullow Uganda Limited (British), Tullow Uganda Operations Pty Ltd  (Australian)","Order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1) issued on July 15, 2015.","September 26, 2013","","Contract",450,2013,2015,0,0,1,"British",0,"Republic of Uganda","UGA","GBR"
"72",89,"ARB/13/25","Tullow Uganda Operations Pty Ltd and Tullow Uganda Limited","Republic of Uganda","Concluded","Tullow Uganda Limited (British), Tullow Uganda Operations Pty Ltd  (Australian)","Order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1) issued on July 15, 2015.","September 26, 2013","","Contract",450,2013,2015,0,0,1,"Australian",0,"Republic of Uganda","UGA","AUS"
"73",91,"ARB/13/23","ASA International S.p.A.","Arab Republic of Egypt","Pending","ASA International S.p.A. (Italian)","","September 13, 2013","BIT Egypt,  Arab Republic of - Italy 1989","",448,2013,NA,1,0,0,"Italian",0,"Arab Republic of Egypt","EGY","ITA"
"74",92,"UNCT/14/2","Eli Lilly and Company","Canada","Pending","Eli Lilly and Company  (U.S.)","","September 12, 2013","","NAFTA (North American Free Trade Agreement)",447,2013,NA,0,1,0,"U.S.",0,"Canada","CAN","USA"
"75",93,"ARB/13/22","Erbil Serter","French Republic","Pending","Erbil Serter (Turkish)","","September 10, 2013","BIT Turkey - France 2006","",446,2013,NA,1,0,0,"Turkish",0,"French Republic","FRA","TUR"
"76",94,"ARB/13/21","Edenred S.A.","Hungary","Pending","Edenred S.A. (French)","","September 9, 2013","BIT France - Hungary 1986","",445,2013,NA,1,0,0,"French",0,"Hungary","HUN","FRA"
"77",95,"ARB/13/20","Interocean Oil Development Company and Interocean Oil Exploration Company","Federal Republic of Nigeria","Pending","Interocean Oil Development Company (U.S.), Interocean Oil Exploration Company (U.S.)","","September 9, 2013","","Investment Law - Nigeria (1995)",444,2013,NA,0,0,1,"U.S.",0,"Federal Republic of Nigeria","NGA","USA"
"78",96,"UNCT/15/2","Lone Pine Resources Inc.","Canada","Pending","Lone Pine Resources Inc. (U.S.)","","September 6, 2013","","NAFTA (North American Free Trade Agreement)",443,2013,NA,0,1,0,"U.S.",0,"Canada","CAN","USA"
"79",97,"ARB/13/19","Günes Tekstil Konfeksiyon Sanayi ve Ticaret Limited Sirketi and others","Republic of Uzbekistan","Pending","Ibrahim Eksilmez (Turkish), Fikret Günes (Turkish), Resat Günes (Turkish), Vahit Günes (Turkish), Günes Tekstil Konfeksiyon Sanayi ve Ticaret Limited Sirketi (Turkish), Yücel Yildiz (Turkish)","","August 29, 2013","BIT Turkey - Uzbekistan 1992, ","Investment Law - Uzbekistan (1998)",442,2013,NA,1,0,0,"Turkish",0,"Republic of Uzbekistan","UZB","TUR"
"80",98,"ARB/13/18","Enel Green Power S.p.A.","Republic of El Salvador","Pending","Enel Green Power S.p.A. (Italian)","","August 21, 2013","","Investment Law - El Salvador (1999)",441,2013,NA,0,0,1,"Italian",0,"Republic of El Salvador","SLV","ITA"
"81",99,"ARB/13/17","EVN AG","Republic of Bulgaria","Pending","EVN AG (Austrian)","","July 19, 2013","BIT Austria - Bulgaria 1997, ","ECT (Energy Charter Treaty)",440,2013,NA,1,0,0,"Austrian",0,"Republic of Bulgaria","BGR","AUT"
"82",101,"ARB/13/15","Lundin Tunisia B.V.","Republic of Tunisia","Concluded","Lundin Tunisia B.V. (Dutch)","The Secretary-General issues an order taking note of the discontinuance of the proceeding pursuant to Arbitration Rule 44 on September 9, 2014.","July 18, 2013","","Contract",438,2013,2014,0,0,1,"Dutch",0,"Republic of Tunisia","TUN","NLD"
"83",102,"ARB/13/14","RSM Production Company","Republic of Cameroon","Pending","RSM Production Company (U.S.)","","July 1, 2013","","Contract",437,2013,NA,0,0,1,"U.S.",0,"Republic of Cameroon","CMR","USA"
"84",103,"ARB/13/13","Caratube International Oil Company LLP and Devincci Salah Hourani","Republic of Kazakhstan","Pending","Caratube International Oil Company LLP (Kazakhstani), Devincci Salah Hourani (U.S.)","","June 28, 2013","BIT United States of America - Kazakhstan 1992, ","Contract, Investment Law - Kazakhstan (1994)",436,2013,NA,1,0,0,"U.S.",0,"Republic of Kazakhstan","KAZ","USA"
